City and Date,Date,City,Raw Number of Posts,Residual After Controlling for Time,Good Sunset,Latitude,Longitude,State Name,City Name,Date of Last Change,Missing Days (#),CO (in parts per million),NO2 (in parts per billion),SO2 (in parts per billion),Ozone (in parts per million),AQI,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Los_Angeles2015-11-01,11/1/2015,Los_Angeles,365,-0.510703078,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.2,41.3,1,0.062,39,11/1/2015,83.9,59.7,69.9,81.3,59.7,69.7,51.1,55,0,0,0,,0,0,,7.4,222.3,1015.3,0.3,9.7,185.9,16.6,7,,2015-11-01T06:12:21,2015-11-01T17:00:07,0.65,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-02,11/2/2015,Los_Angeles,625,0.452376339,1,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1,32,0.2,0.034,30,11/2/2015,73.4,59.9,65.7,73.4,59.9,65.7,55.6,70.3,0.01,100,4.17,rain,0,0,28.3,10.8,238.5,1009.8,74.1,9.4,182,15.8,7,,2015-11-02T06:13:15,2015-11-02T16:59:11,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHHR,KBUR,KCQT,72295603167,72288023152,72287493134"
Los_Angeles2015-11-03,11/3/2015,Los_Angeles,610,0.493056118,1,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.5,26,0,0.035,25,11/3/2015,67.7,53,60,67.7,53,60,44.4,58,0,0,0,,0,0,23,9.8,280,1009.9,18.5,9.8,183.8,15.8,7,,2015-11-03T06:14:10,2015-11-03T16:58:16,0.75,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-04,11/4/2015,Los_Angeles,505,0.236022937,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.8,36,0.3,0.033,34,11/4/2015,67.3,51.3,59.1,67.3,51.3,59.1,35.9,44.6,0,0,0,,0,0,16.1,13.9,286.2,1014.1,6.9,9.9,189.3,16.3,7,,2015-11-04T06:15:05,2015-11-04T16:57:22,0.8,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-05,11/5/2015,Los_Angeles,376,-0.02692324,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.9,44.5,0.5,0.034,42,11/5/2015,69.9,50.3,60.1,69.9,50.3,60.1,29.9,32.9,0,0,0,,0,0,,7.1,294.3,1020.7,0.8,9.9,183.5,15.7,7,,2015-11-05T06:16:00,2015-11-05T16:56:30,0.85,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-06,11/6/2015,Los_Angeles,391,-0.083629691,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.3,50.2,6.5,0.03,47,11/6/2015,76.1,51.6,63.1,76.1,51.6,63.1,32.4,33.8,0,0,0,,0,0,17.2,6.3,246.9,1019.1,0,9.9,190.5,16.3,7,,2015-11-06T06:16:56,2015-11-06T16:55:40,0.89,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-07,11/7/2015,Los_Angeles,45,-0.829526228,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1.3,48.1,0.7,0.043,45,11/7/2015,79.7,51.1,64.3,79.7,51.1,64.3,28,28.6,0,0,0,,0,0,43.8,9.2,313.9,1016.8,0.1,9.9,174,15.1,6,,2015-11-07T06:17:51,2015-11-07T16:54:50,0.93,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-08,11/8/2015,Los_Angeles,623,0.186671339,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,1,39.9,0.9,0.049,37,11/8/2015,75.3,52.2,63.5,75.3,52.2,63.5,38.2,42.1,0,0,0,,0,0,,6.7,179.9,1014.6,0.4,9.9,174.6,15.1,7,,2015-11-08T06:18:47,2015-11-08T16:54:02,0.96,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,72295603167,72288023152,72287493134"
Los_Angeles2015-11-09,11/9/2015,Los_Angeles,330,-0.185965692,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.9,39.5,0.2,0.036,37,11/9/2015,71.2,58.5,63.2,71.2,58.5,63.2,46.6,55.2,0,0,0,,0,0,28.1,9.9,240.3,1014.8,50.1,9.8,159.8,13.7,6,,2015-11-09T06:19:44,2015-11-09T16:53:16,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,KBUR,KCQT,72295603167,72288023152,72287493134"
Los_Angeles2015-11-10,11/10/2015,Los_Angeles,333,-0.105731101,0,34.06659,-118.22688,California,Los Angeles,11/8/2021,0,0.7,39.4,7.7,0.041,37,11/10/2015,68.9,50.8,60.3,68.9,50.8,60.3,36.9,44.5,0,0,0,,0,0,26.4,13.9,301.1,1018.6,3.1,9.8,180.6,15.5,7,,2015-11-10T06:20:40,2015-11-10T16:52:31,1,Clear,Clear conditions throughout the day.,clear-day,"KHHR,KBUR,KCQT,72295603167,72288023152,72287493134"
